"Slug",":draft","Feature Name","Feature Description (brief)","Feature Image","Feature Image:alt","Feature Image Alt Text","Display Feature","Feature Page","H1 (Hero Heading)","Hero Subheading","Long Body","SEO Title","SEO Description","Tags","Feature Image Description","Keywords","OG Title","OG Description","OG Image Alt","Primary CTA Text","Primary CTA URL","Secondary CTA Text","Secondary CTA URL","Bullets","Internal Links","Schema Type","Order","FAQ Q1","FAQ A1","FAQ Q2","FAQ A2","FAQ Q3","FAQ A3","Video - Loom Embed Code"
"task-management","false","Task Management","<p>Stream automatically surfaces tasks from your visit — follow-ups, reminders, actions — and organizes them in a central task list for your practice. Resolve them manually and they’ll carry forward until completed.</p>","https://framerusercontent.com/images/hCXq0w9WWyrK6XeAb55fnwQs5QA.png","","Illustration of Stream listening to a clinician and automatically generating a task list from the encounter.","true","true","Tasks That Surface Themselves","Let Stream listen, extract actionable items, and organize what needs to happen next — so you never lose track of follow-ups or important clinical steps.","<p>In clinical care, the hard part isn’t always deciding what to do — it’s making sure it actually gets done. Between follow-up steps, administrative tasks, care coordination, and the realities of visit-to-visit documentation, important clinical details can easily slip through the cracks.</p><p><strong>Stream’s Task Management feature eliminates that cognitive burden.</strong></p><h3><strong>Stream listens and identifies actionable items automatically</strong></h3><p>Whether you’re speaking naturally, typing into the Scratchpad, or documenting through templates, Stream identifies and surfaces the next steps implied by your visit — follow-ups to schedule, instructions to carry out, reminders to address at the next visit, or actions to complete outside the room.</p><p>There’s no setup required. No triggers to define. No special syntax.</p><p>If you say it, Stream captures it.</p><p><br></p><h3><strong>A unified task list for your practice</strong></h3><p>Stream gathers all identified tasks in a dedicated Task Manager page, filterable by provider. This gives your entire practice a single source of truth for clinical and administrative follow-ups — a view that’s far easier to manage than a mix of sticky notes, inbox messages, or EHR reminders.</p><p><br></p><h3><strong>Tasks carry forward until you complete them</strong></h3><p>Every task persists across encounters until you mark it resolved. If you don’t complete the task today, it will still appear the next time you see the patient.</p><p>This reduces the mental overhead of remembering what needs to happen at future visits.</p><p>It also prevents important gaps in follow-up care.</p><p><br></p><h3><strong>Simple resolution, clean workflows</strong></h3><p>Tasks are manually resolved with a single action. No automatic clearing, no hidden logic — you maintain full control.</p><p><br></p><h3><strong>Designed for Stream Pro</strong></h3><p>Tasks depend on Stream’s longitudinal memory, context loading, and continuity model. Because of this, Task Management is available exclusively in <strong>Stream Pro</strong>.</p>","Task Management in Stream — Automatically Surface Clinical Follow-Ups","Stream Pro automatically identifies tasks and follow-ups from your visit and keeps them organized in a central task list. Reduce cognitive load and never lose track of what needs to happen next.","care-coordination,collaborative-care,longitudinal-care,beyond-the-scribe,ai-assistant","🎨 Feature Image Description (16:9 Hero Figure)  Concept: Show Stream identifying tasks from a visit and generating a clear, organized task list — visualizing the feeling of “Stream surfaces what you need to do next.”  ⸻  Layout & Composition — 16:9  Left Side (Human Interaction) 	•	Minimal, gender-neutral clinician silhouette in soft gray. 	•	Holding a tablet angled toward the center. 	•	Three soft Stream-blue (#3A7AFE) voice waves emerging from the tablet, indicating that Stream is listening.  Center — “Extraction Pipeline” Visual 	•	A soft curved Stream-blue arrow flowing from the clinician’s tablet toward the right. 	•	Along the arrow: 2–3 faint floating icons representing task types: 	•	Clipboard (administrative) 	•	Calendar (follow-up) 	•	Exclamation bubble (action item) 	•	All icons minimal, low opacity, symbolic rather than literal.  Right Side — Task List Card  A floating stylized card labeled “Tasks”, with: 	•	Stream-blue header: Tasks 	•	3–4 task rows: 	•	Gray task bullet 	•	Short gray filler lines (no text) 	•	A checkbox on the right (empty) 	•	Rounded corners (12–16px) 	•	Soft drop shadow (y=8, blur=24, opacity≈15%) 	•	No PHI, no real task names  Design 	•	White → soft gray gradient background 	•	Stream-blue accents 	•	Flat vector style 	•	High whitespace  Mood: Calm, structured, intelligent. Visually communicates: “Stream extracts tasks automatically.”","","Task Management — Stream Surfaces What Matters Next","Stream listens for actionable items, turns them into tasks, and carries them forward until resolved — so nothing falls through the cracks.","Illustration of Stream automatically generating clinical tasks from an encounter.","Try Stream Pro","stream.riverrecords.ai/onbaord/pro","See All Features","/features","<ul><li data-preset-tag=""p""><p>Automatically identifies actionable follow-ups and tasks</p></li><li data-preset-tag=""p""><p>Central task list filtered by provider</p></li><li data-preset-tag=""p""><p>Surfaces tasks regardless of how they were mentioned</p></li><li data-preset-tag=""p""><p>Tasks persist across visits until manually resolved</p></li><li data-preset-tag=""p""><p>Reduces cognitive load across episodes of care</p></li><li data-preset-tag=""p""><p>Exclusive to Stream Pro</p></li></ul>","","","0","How does Stream decide which tasks to create?","Stream listens to your visit and identifies actionable follow-ups, reminders, and next steps automatically. Anything you mention — through dictation, conversation, templates, or scratchpad — can be turned into a task.","Do tasks appear in future visits?","Yes. Tasks persist until you manually resolve them, so they will reappear at the next encounter to ensure important follow-ups aren’t lost.","Are tasks problem-based?","Not yet. Current tasks are general encounter- or patient-level items. Problem-level task tracking will come later as part of Stream’s evolving longitudinal system.",""
"quick-encounter","false","Quick Encounter","<p><strong>Quick Encounter — Fast Notes When Context Isn’t Needed</strong></p>","https://framerusercontent.com/images/qicqaETIrbW1141rOQS6K7PM.png","","Clinician speaks to AI scribe in Quick Encounter and documentation is done in an instant. ","true","true"," Quick Encounter — Fast Notes When Context Isn’t Needed","Use Stream’s lightweight mode for urgent visits, telemedicine, and short encounters where continuity doesn’t matter — and speed does.","<p>Not every encounter needs Stream’s full memory.</p><p>Sometimes, you just need the note done — quickly, clearly, and once.</p><p><strong>Quick Encounter</strong> is Stream’s built-in “Lite Mode.” It’s powered by the same voice capture and transcription intelligence as Stream, but built for <em>single encounters</em> where long-term context or problem continuity aren’t required.</p><p>Use Quick Encounter to dictate, transcribe, or instruct — and get structured notes instantly. No setup, no configuration, no carryover.</p><p>It’s ideal for:</p><ul><li data-preset-tag=""p""><p>Urgent care or walk-in visits</p></li><li data-preset-tag=""p""><p>Brief telemedicine encounters</p></li><li data-preset-tag=""p""><p>Procedural follow-ups</p></li><li data-preset-tag=""p""><p>One-time specialist consultations</p></li></ul><p>Each note stands on its own, using your template of choice — but still benefits from Stream’s accuracy and structure.</p><h3><strong>Key Benefits</strong></h3><ul><li data-preset-tag=""p""><p><strong>Fast Documentation</strong>: Capture your encounter naturally. Quick Encounter delivers finished notes in seconds.</p></li><li data-preset-tag=""p""><p><strong>Natural Input</strong>: Speak, dictate, or type. Stream interprets and structures your words automatically.</p></li><li data-preset-tag=""p""><p><strong>Custom Templates</strong>: Use any specialty- or visit-specific template — the same ones you already use in Stream.</p></li><li data-preset-tag=""p""><p><strong>No Carryover Context</strong>: Notes are self-contained, ideal for visits that don’t require continuity or follow-up.</p></li></ul><h3><strong>Why It Matters</strong></h3><p>Even within a continuity-based system, clinicians often balance two realities:</p><ul><li data-preset-tag=""p""><p>Some visits build on months of context.</p></li><li data-preset-tag=""p""><p>Others are quick, isolated, and transactional.</p></li></ul><p>Quick Encounter allows Stream to flex between these modes seamlessly — giving you full power when you need context, and pure speed when you don’t.</p><p>This duality means Stream adapts to <em>your</em> workflow, not the other way around.</p>","Quick, flexible AI medical scribe to match your urgent care and televisit documentation needs. ","Quick Encounter by Stream delivers rapid AI medical documentation for single visits. Dictate or type, and Stream instantly generates clear, complete notes without setup or redocumentation. Ideal for urgent care, telehealth, and short follow-up visits.","ai-medical-scribe,medical-documentation","","","","","","Try Out Quick Encounter in Stream","stream.riverrecords.ai/onboard","Reach Out With Questions","mailto:hello@riverrecords.ai","<ul><li data-preset-tag=""p""><p>Flexible, simple, AI drafted medical documentation</p></li><li data-preset-tag=""p""><p>Your notes done in an instant</p></li></ul>","","","0","How is Quick Encounter different from Stream Pro?","Quick Encounter is Stream’s lightweight documentation mode designed for single visits that don’t require longitudinal tracking or memory. It uses the same transcription and structured note generation engine as Stream Pro but skips context loading — making it faster for urgent care, telehealth, or one-time consultations.","Can I still use my custom templates with Quick Encounter?","Yes. Quick Encounter supports custom, unstructured templates that reflect the entirety of the visit. You can dictate naturally or type notes into your preferred format — SOAP, narrative, or specialty-based — and Stream will generate a complete note using your chosen layout or custom templated instructions. ","When should I use Quick Encounter instead of Stream Pro?","Use Quick Encounter when continuity isn’t essential — for example, short-term or episodic visits like acute illness, or urgent care. Stream Pro is best for longitudinal care, where memory and prior context improve accuracy and efficiency over time.",""
"templates","false","Templates","<p>Create, edit, and reuse templates across every note style—from problem-based SOAP sections to encounter-level notes. Stream adapts to your preferred documentation workflow.</p>","https://framerusercontent.com/images/PQ7zgGP7ZXhBZmH02rtsJBY2iBI.png","","Illustration showing customizable medical note templates in Stream, including Subjective, Objective, Assessment & Plan, and problem-based SOAP cards.","true","true","Templates That Work the Way You Do","Stream lets you design templates that fit your specialty, visit type, and preferred chart structure—from single-problem SOAP notes to full encounter summaries.","<p>Stream’s template system gives you control without friction.</p><p>You can design templates for any part of the documentation process:&nbsp;</p><p>• <strong>Subjective</strong> – customize how patient narratives appear, whether bullet-pointed symptoms or structured HPI subsections.</p><p>• <strong>Objective</strong> – capture exams, vitals, labs, or imaging details with reusable formatting.</p><p>• <strong>Assessment &amp; Plan</strong> – standardize your reasoning, differential language, and management plans for consistency across visits.&nbsp; </p><p>For clinicians who prefer problem-oriented documentation, Stream also supports full <strong>problem-based templates</strong>—SOAP cards written entirely about one medical issue. Each card can inherit its own structure and style.</p><p>You can move seamlessly along the spectrum—from fully problem-based notes (SOAP per problem) to encounter-based notes (S/O/A grouped by visit). Even in encounter mode, Stream can still apply <strong>problem-specific mini-templates</strong>, ensuring consistent organization and carry-forward structure.</p><p>Templates are reusable, editable, and stored securely inside your workspace. Once you’ve created one, simply select it—or let Stream auto-apply it based on visit type or specialty context.</p><p>The result: documentation that’s faster, cleaner, and consistently reflects how <em>you</em> think.</p>","Customizable Clinical Documentation Templates","Build reusable medical note templates for Subjective, Objective, Assessment & Plan, or problem-based SOAP sections. Stream adapts to every clinician’s documentation style.","","A flat-style digital illustration showing Stream’s flexible note template system—three blue cards labeled Subjective, Objective, Assessment & Plan, connected to a problem-specific SOAP card titled “Hypertension Template.” Clean white background, rounded corners, and Stream-blue accents.","","Stream Templates — Custom Medical Note Templates","Create structured templates for Subjective, Objective, and Assessment & Plan sections—or build full problem-based SOAP cards. Stream adapts to your workflow.","Stream UI cards representing editable clinical documentation templates for problem-based and encounter-based notes.","Try Stream","stream.riverrecords.ai/onboard","Explore All Features","/features","<ul><li data-preset-tag=""p""><p>Customize Subjective, Objective, and Assessment &amp; Plan sections to your workflow.</p></li><li data-preset-tag=""p""><p>Problem-specific templates allow clinical context to drive documentation</p></li><li data-preset-tag=""p""><p>Auto-Applied: Save templates once and let Stream select the right one for each visit.</p></li><li data-preset-tag=""p""><p>Change your default notes to use your templates every time</p></li><li data-preset-tag=""p""><p>Adaptive templating: use if/then logic to have Stream write documentation adapting to your workflows</p></li></ul>","","","0","Can I use different templates for different visit types?","Yes. Stream lets you create multiple templates and link them to visit types, specialties, or problems. You can switch or edit them anytime.","How are problem-based templates different from encounter templates?","Problem-based templates structure documentation around each medical problem (SOAP per problem), while encounter templates group information into S/O/A sections for the entire visit. Both styles can coexist.","Can I share templates with colleagues?","Absolutely. Templates can be shared across your organization, so teams maintain consistent structure while still allowing individual customization.",""
"transcribe-dictate-instruct","false","Transcribe, Dictate, Instruct","<p>Real-time voice capture that builds structured, problem-based notes automatically.</p>","https://framerusercontent.com/images/GZoLzPZQ1EYff6VpOUlEb4d69g.png","Illustration showing both voice and text inputs flowing into a structured Stream documentation card, symbolizing dictation, transcription, and instruction-based control.","Illustration showing both voice and text inputs flowing into a structured Stream documentation card, symbolizing dictation, transcription, and instruction-based control.","true","true","Transcribe, Dictate, Instruct — Your Voice as Prompt & Context","Speak naturally. Stream transcribes and structures your note in real time — your voice doubles as the prompt and the context.","<p>You can work with Stream the way you work best — by speaking, typing, or both.</p><p>Whether you prefer to <strong>dictate naturally</strong> or <strong>give direct instructions</strong>, Stream turns your input into structured, problem-based documentation automatically. There are no rigid commands or templates to memorize — just a conversation that turns into a note.</p><p>You might say:</p><blockquote><p>“Add this under the asthma plan, not the pneumonia plan.”</p></blockquote><blockquote><p>“Document everything under mild asthma exacerbation.”</p></blockquote><blockquote><p>“Draft a message I can send to the patient detailing inhaler use and put it under the plan.”</p></blockquote><p>Stream listens and acts. It places information exactly where it belongs, at the right level of detail, under the right problem.</p><p>You can also <strong>type into Stream’s scratchpad</strong> if you prefer text-based input. Drop in your notes, lab results, or updates — Stream understands both the content and your intent. Write instructions like:</p><blockquote><p>“Add this to diabetes: A1C from today is 7.4.”</p></blockquote><p>Stream doesn’t just transcribe; it interprets and structures.</p><p>And if you use <strong>templates</strong>, you can instantly pull in reusable clinical instructions tailored to the context — for example, your preferred documentation pattern for chronic care visits or asthma follow-ups.</p><p>There’s no limit to what you can say or write.</p><p>Your voice, your notes, your system — Stream adapts to your practice.</p>","AI Medical Scribe with Voice Commands & Context | Stream by River Records","Stream listens, transcribes, and structures notes automatically. Dictate naturally and use your voice as the prompt for organized documentation.","ai-medical-scribe,medical-documentation,stream-by-river-records,problem-based-charting,medical-dictation-ai","Clinician speaking with subtle voice waves; floating Stream UI card builds SOAP sections (HPI, Assessment, Plan) with a live blue transcription line under HPI.","<p>ai medical scribe; medical dictation ai; speech to structured note; real time transcription; problem-based charting</p>","Transcribe, Dictate, Instruct — Your Voice as Prompt & Context","Dictate naturally and let Stream transform speech into organized, problem-based notes.","Clinician dictating while Stream builds a structured SOAP note (HPI, Assessment, Plan).","Instruct your Artificial Intelligence","stream.riverrecords.ai/onboard/pro","See how it works","https://www.riverrecords.ai/how-it-works","<ul><li data-preset-tag=""p""><p>Real-time medical transcription</p></li><li data-preset-tag=""p""><p>Voice as prompt for actions</p></li><li data-preset-tag=""p""><p>Automatic SOAP and problem placement</p></li><li data-preset-tag=""p""><p>Inline edits and corrections</p></li><li data-preset-tag=""p""><p>Saves minutes per visit</p></li></ul>","clinical-context-continuity; administrative-automation; problem-based-organization","WebPage","1","Can I give Stream plain-language instructions?","Yes. Use natural commands like “Add this to diabetes” or “Summarize today’s visit for the referral.” Stream interprets and files content correctly.","How accurate is the medical transcription?","Stream uses medical-tuned speech recognition and shows a live view so you can correct on the fly.","Does dictation lock me into a template?","No. Stream organizes by problems and SOAP sections automatically; you remain in control of structure.",""
"22-language-support","false","22 Language Support","<p>Multilingual capture and summaries for global and diverse clinics.</p>","","","Multilingual capture concept with language chips around a structured note.","true","false","22-Language Support — Understand More Patients, Seamlessly","Speak with patients in their language. Stream supports 22 languages for capture and documentation.","<p>Stream can capture and summarize across 22 languages, then generate structured English documentation or your preferred output. Ideal for multilingual patient populations and international teams.</p>","AI Scribe with 22-Language Support | Stream","Capture in 22 languages and produce structured documentation.","","Globe or translation icons around a note card; language chips such as EN, ES, FR, PT, AR, ZH.","<p>ai medical scribe multilingual; 22 language support; translation; international clinics</p>","22-Language Support — Understand More Patients, Seamlessly","Capture and summarize across 22 languages.","Language chips around a structured note card.","Start 30-day free trial","https://www.riverrecords.ai","","","<ul><li data-preset-tag=""p""><p>Capture in 22 languages</p></li><li data-preset-tag=""p""><p>Document in English</p></li><li data-preset-tag=""p""><p>Problem-oriented structure kept</p></li><li data-preset-tag=""p""><p>Great for diverse clinics</p></li><li data-preset-tag=""p""><p>Reduce interpreter friction</p></li></ul>","transcribe-dictate-instruct; patient-problem-summaries","WebPage","10","Are translations verbatim?","They are faithful clinical summaries, not legal translations; you can review and edit.","Which languages are supported?","A broad list including EN, ES, FR, PT, DE, IT, ZH, JA, KO, and AR among others.","Can I keep the note in the patient's language?","Yes. Choose your output language in settings.","<div><iframe src=""https://www.loom.com/embed/1a5adbddc8994ed18767cc3934588eec"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%;""></iframe></div>"
"scratchpad","false","Scratchpad","<p>Capture first; organize later — without losing structure.</p>","","","Scratchpad card with Send to routing chips.","true","false","Scratchpad — Capture a Note, Then File It Cleanly","Capture your ideas and let Stream file them into the right problem.","<p>Use the Scratchpad for quick thoughts you have when you're with a patient or use it to  updates, and bedside reminders. When ready, send items into the correct problem or section with one click. Stream preserves structure on the way in.</p>","Scratchpad for Clinicians | Stream","Capture thoughts privately and route them into the chart when ready.","","Notepad UI with Send to: Hypertension or A&P or Next visit control.","<p>clinical scratchpad; bedside notes; quick capture; route to problem</p>","Scratchpad — Think Out Loud, Then File It Cleanly","Private capture with one-click routing into the chart.","Scratchpad with routing chips to problems and sections.","Start 30-day free trial","stream.riverrecords.ai/onboard/pro","","","<ul><li data-preset-tag=""p""><p>Private jot space</p></li><li data-preset-tag=""p""><p>Your captured notes get prioritized by Stream</p></li><li data-preset-tag=""p""><p>Persistent memory of scratchpad</p></li></ul>","transcribe-dictate-instruct; problem-based-organization; collaborative-threads","WebPage","8","Is Scratchpad part of the record?","Not until you send items into a problem or note.","Can I share a scratch?","Yes, by mention in a thread or by filing it into a shared problem.","Does it keep edit history?","Yes. Changes are tracked when you file content.",""
"collaborative-threads","false","Collaborative Threads","<p>In-chart, problem-linked conversations for teams.</p>","https://framerusercontent.com/images/v31wblVypnzoESX7gZmyURVb18s.png","Illustration showing multiple clinicians contributing updates to a shared hypertension problem thread in Stream, symbolizing collaborative and continuous documentation.","Problem-linked conversation thread with avatars and resolved checkmarks.","true","true","Collaborative Threads — Keep Everyone on the Same Page","Lightweight discussion around problems and encounters — linked to the chart, not buried in email.","<p>In Stream, documentation isn’t owned by a single author — it’s a shared thread of care.</p><p>When multiple clinicians care for the same patient, the story shouldn’t reset with every encounter. Stream allows collaboration at the level that matters most: the medical problem. Each problem — whether it’s hypertension, anxiety, or back pain — becomes its own living thread that can be updated, expanded, or clarified by anyone on the care team.</p><p>This means a clinician seeing the patient today doesn’t just review the last note — they continue the same clinical thread.</p><p>The most recent assessment and plan remain visible and editable, so context is never lost and the story always moves forward.</p><p>Whether a pharmacist updates medication management, a specialist refines the plan, or a primary care provider summarizes the overall trajectory, Stream ensures everyone contributes to the same, problem-based narrative — not a scattered set of disconnected notes.</p><p>Collaborative Threads turn documentation into a team sport: fluid, traceable, and organized around patient reality instead of provider silos.</p><p>When each clinician contributes to a shared record that remembers where the last left off, continuity becomes effortless — and collaboration becomes the default.</p>","Collaborative Threads for Care Teams | Stream","Discuss within the chart and keep the clinical thread intact.","","Illustration showing multiple clinicians contributing updates to a shared hypertension problem thread in Stream, symbolizing collaborative and continuous documentation.","<p>care team collaboration; problem-linked discussion; handoffs</p>","Collaborative Threads — Keep Everyone on the Same Page","Problem-linked conversation that becomes part of the record.","Conversation thread attached to a problem card.","Start Collaborating Today","stream.riverrecords.ai/onboard/pro","See collaboration demo","","<ul><li data-preset-tag=""p""><p>Problem-linked comments</p></li><li data-preset-tag=""p""><p>Resolve and archive</p></li><li data-preset-tag=""p""><p>Handoff friendly • Context aware</p></li></ul>","clinical-context-continuity; patient-problem-summaries; scratchpad","WebPage","4","Does this replace our inbox?","No. Threads keep clinical context where it belongs; they complement your existing messaging tools.","Can I see who last updated a problem? ","Yes. Each problem update is appropriately attributed and time stamped. ","Can threads be summarized? ","Yes. Threads can be summarized over time and copied out to your EHR if needed. ",""
"real-time-capture","false","Real Time Capture","<p>Live capture during the visit for true end-of-day relief.</p>","","","Clinician capturing in real time while Stream structures the note.","true","false","Real-Time Capture — Finish Notes Before You Leave the Room","Capture as you go: Stream listens during the encounter and structures the note immediately.","<p>Use Stream alongside the visit. Speak naturally, let Stream structure, and finalize with quick edits. Reduce pajama time by finishing the note before the next patient.</p>","Real-Time AI Scribe Capture | Stream","Finish notes during the visit with live, structured capture.","","Clinician and patient with a small live-capture indicator; UI card building lines in real time.","<p>real time ai scribe; live capture; reduce after hours charting; faster notes</p>","Real-Time Capture — Finish Notes Before You Leave the Room","Capture during the visit; leave with notes done.","Live capture indicator and structured note card.","Start 30-day free trial","https://www.riverrecords.ai","","","<ul><li data-preset-tag=""p""><p>Live encounter transcription</p></li><li data-preset-tag=""p""><p>Immediate structure</p></li><li data-preset-tag=""p""><p>One-tap finalize</p></li><li data-preset-tag=""p""><p>Inline corrections</p></li><li data-preset-tag=""p""><p>Time back at the end of day</p></li></ul>","transcribe-dictate-instruct; clinical-context-continuity","WebPage","6","Is live capture allowed in my clinic?","Stream supports consent workflows; follow your organization's policies.","What if the room is noisy?","Medical-tuned models handle typical clinic noise; you can also dictate after the visit.","Can I switch from live to dictation?","Yes. Seamlessly continue as a dictation with full structure preserved.",""
"record-ingestion","false","Record Ingestion","<p>Turn outside documents into usable, structured context.</p>","https://framerusercontent.com/images/XAwI64BDb35nkhAU38kXpXZUyU.png","Illustration showing PDF, referral letter, and fax icons flowing through a blue funnel into organized problem cards labeled Hypertension, Asthma, and Diabetes, representing Stream’s Record Ingestion feature.","Illustration showing PDF, referral letter, and fax icons flowing through a blue funnel into organized problem cards labeled Hypertension, Asthma, and Diabetes, representing Stream’s Record Ingestion feature.","true","true","Record Ingestion — Bring Outside Docs Into Order","Upload or forward records; Stream ingests, extracts problems, and prepares summaries or updates.","<p>Every clinician knows the feeling — a new patient arrives with years of records from outside systems: scanned PDFs, faxed letters, printouts from old EHRs. You spend half the visit scrolling, searching, and summarizing before you can even begin to plan care.</p><p>Stream’s <strong>Record Ingestion</strong> feature is designed to fix that.</p><p>Simply upload a PDF or paste text from any outside record, and Stream automatically extracts the relevant information — problems, medications, key findings — and files each item into the right <strong>problem buckets</strong> for you.</p><p>Discharge summaries, referral letters, and old consult notes become structured, problem-linked documentation that you can actually use. The next time you see the patient, you’re not digging through attachments — you’re continuing the story from where someone else left off.</p><p>This feature will also form the foundation of Stream’s <strong>Chart Builder</strong>, allowing you to reconstruct a patient’s longitudinal record even when they come from multiple external systems.</p><p>And soon, you’ll even be able to <strong>fax directly into Stream</strong> — sending outside documents straight into the problem-based charting system for instant processing. (We’re gauging early interest in this — stay tuned.)</p><p>With Record Ingestion, Stream turns information overload into structured, usable context — bringing clarity back to every handoff, every referral, and every new patient you meet.</p>","Record Ingestion & Summarization | Stream","Convert outside records into problem-oriented context and summaries.","","Funnel of files (PDF, fax, letter) flowing into organized problem cards and a patient summary.","<p>ai record ingestion; medical document processing; pdf to summary; fax ingestion</p>","Record Ingestion — Bring Outside Docs Into Order","From PDFs and faxes to clean, problem-based context.","Files funneling into organized problem cards and summary.","Join the waitlist!","mailto:jacob@riverrecords.ai","Start 30 Day Free Trial","stream.riverrecords.ai/onboard/pro","<ul><li data-preset-tag=""p""><p>PDF and fax ingestion</p></li><li data-preset-tag=""p""><p>Problem extraction</p></li><li data-preset-tag=""p""><p>Auto summaries</p></li><li data-preset-tag=""p""><p>Proposed updates</p></li><li data-preset-tag=""p""><p>Include in notes automatically only as needed</p></li></ul>","patient-problem-summaries; problem-based-organization; clinical-context-continuity","WebPage","7","Does Stream store the original documents?","Yes, per your organization's retention settings; extracted context is linked to the source.","Can I review extracted items before applying?","Yes. You approve suggested updates before they appear in the chart.","Does this replace my EHR’s media tab?","No. Stream organizes content for documentation; originals can remain in your EHR's repository.",""
"unlimited-recordings","false","Unlimited Recordings","<p>Unlimited, flexible capture so nothing gets lost.</p>","","","Stack of recording tiles with infinity icon feeding organized problem cards.","true","false","Unlimited Recordings — Capture Without Worry","No caps. Record freely across visits, calls, or dictations and organize later.","<p>Record as much as you need. Stream organizes and retains per policy. Ideal for complex visits, long consults, and multidisciplinary care.</p>","Unlimited Recordings | Stream","Capture without limits. Organize when you are ready.","","Stack of recording tiles with an infinity symbol and an organize arrow pointing to problem cards.","<p>unlimited recordings; long consults; capture everything; organize later</p>","Unlimited Recordings — Capture Without Worry","No caps on recordings. Organize into problems when ready.","Stack of recordings feeding organized problem cards.","Start 30-day free trial","stream.riverrecords.ai/onboard","","","<ul><li data-preset-tag=""p""><p>Unlimited audio capture, before, during, and after your visits</p></li><li data-preset-tag=""p""><p>Organize later</p></li><li data-preset-tag=""p""><p>Great for complex care</p></li><li data-preset-tag=""p""><p>Start recording today</p></li></ul>","real-time-capture; scratchpad; record-ingestion","WebPage","9","Are there storage limits?","There is effectively no hard cap for typical clinics; retention follows policy and plan.","Does longer recording hurt accuracy?","No. Stream processes in segments and maintains structure. The more context and instruction you provide, the better Stream can meet your needs. ","Can I split one recording into multiple problems?","Yes. Record as much or as little as you like and Stream structures everything for you. ",""
